step,best_objective,avg_acceptance_rate,std,temperature,runtime
0,-48872.5775,0.6969,1912.3423,3824.6845,0.0194
1,-46654.9956,0.7894,2006.3242,1237.8517,0.1137
2,-44769.1775,0.8084,851.0277,779.3897,0.2072
3,-43398.9696,0.8062,776.2936,666.621,0.2972
4,-41785.4023,0.7953,784.6775,603.7255,0.3899
5,-40134.9458,0.8094,789.0221,557.8257,0.4798
6,-38313.8235,0.7709,767.2269,524.3742,0.5713
7,-36299.0738,0.7378,700.8416,481.1968,0.6637
8,-35172.9749,0.7028,885.8496,462.3236,0.7564
9,-34466.9521,0.6731,693.1188,425.0942,0.8493
10,-33936.9801,0.6378,861.7963,409.0504,0.9412
11,-33168.9533,0.6144,769.4179,388.0188,1.0346
12,-32370.6553,0.5916,824.1114,373.1904,1.1271
13,-31639.4633,0.5706,645.8646,346.5808,1.2186
14,-31173.1874,0.5525,610.7616,322.3199,1.3108
15,-30415.8177,0.5372,651.6218,306.6424,1.403
16,-29215.7653,0.5234,648.1538,293.2826,1.4963
17,-28625.3698,0.4994,646.8674,281.8253,1.5895
18,-27592.3144,0.4766,507.8073,261.9183,1.6828
19,-27014.6662,0.4509,620.2762,253.3336,1.7774
20,-25897.9974,0.4222,444.0932,233.6738,1.871
21,-25579.7991,0.3903,574.4993,226.762,1.9641
22,-25164.1705,0.3747,546.5792,219.7332,2.0564
23,-24631.5135,0.3612,376.1619,201.8793,2.15
24,-24166.7631,0.3484,542.9219,197.4228,2.2441
25,-23510.0351,0.3334,445.2243,190.2272,2.3356
26,-23052.0643,0.3278,424.4478,183.1902,2.4277
27,-22417.0518,0.3078,460.7658,178.4381,2.5213
28,-21858.2906,0.2938,313.3082,165.8169,2.6156
29,-21538.2206,0.2744,419.7257,161.8002,2.711
30,-21049.9819,0.2591,290.1366,151.5959,2.8037
31,-20611.669,0.2366,416.8624,148.9075,2.897
32,-19617.7612,0.2216,334.4419,144.3871,2.9904
33,-19383.841,0.2059,337.3916,140.6437,3.0821
34,-18935.8188,0.1984,325.0801,137.0614,3.1749
35,-18650.9178,0.1909,332.7222,134.1152,3.2681
36,-18361.8484,0.1894,281.6555,129.8326,3.3607
37,-18101.3254,0.1834,265.6659,125.3884,3.4528
38,-17805.8017,0.1725,306.9721,122.9047,3.5457
39,-17478.3664,0.165,153.731,107.3793,3.639
40,-17299.8021,0.1581,218.3857,104.0003,3.7326
41,-17070.2096,0.1419,120.6224,88.9356,3.8258
42,-16740.4859,0.1281,167.5181,85.8266,3.9205
43,-16303.189,0.1219,138.662,81.5275,4.0135
44,-16061.6688,0.1113,134.0647,77.7984,4.107
45,-15729.8328,0.1019,129.2734,74.5944,4.2004
46,-15525.9001,0.1013,148.5078,72.9085,4.2938
47,-15177.3878,0.1022,157.8509,71.6277,4.3878
48,-14919.5975,0.0994,138.36,69.8545,4.4818
49,-14653.633,0.0994,172.3162,69.0335,4.5745
50,-14335.943,0.0934,141.6782,67.6367,4.6685
51,-14065.9094,0.0859,170.6072,66.9319,4.7623
52,-13956.6425,0.0819,138.6615,65.7721,4.8574
53,-13798.1335,0.0747,125.2196,64.3722,4.952
54,-13586.0006,0.0666,82.0361,60.3482,5.0536
55,-13488.7682,0.0675,103.8309,58.9125,5.1457
56,-13286.7966,0.0628,112.5273,57.8684,5.2414
57,-13137.8828,0.0609,73.3315,54.7066,5.3365
58,-12979.0628,0.0603,104.3887,53.8209,5.4321
59,-12866.9922,0.0603,70.6327,51.2531,5.5213
60,-12784.8436,0.0547,65.4123,48.6054,5.6159
61,-12692.4758,0.055,61.5151,46.2485,5.7106
62,-12530.3275,0.05,65.693,44.6309,5.8048
63,-12456.0519,0.0481,76.0608,43.791,5.899
64,-12377.5628,0.0441,66.8443,42.6919,5.9918
65,-12305.6887,0.0447,85.7503,42.2529,6.0855
66,-12084.5453,0.0419,39.9467,38.3773,6.1792
67,-11878.251,0.0441,104.1964,38.2241,6.2733
68,-11760.1323,0.0406,90.4214,37.9825,6.3675
69,-11591.4506,0.0406,47.4565,36.5235,6.4611
70,-11400.502,0.0366,60.856,35.9185,6.5541
71,-11299.0683,0.0331,61.3658,35.4183,6.6456
72,-11112.904,0.0303,56.044,34.8549,6.738
73,-11016.8217,0.0316,72.6907,34.6306,6.8296
74,-10765.5729,0.0297,48.7139,33.8865,6.9245
75,-10606.1679,0.0291,97.199,33.804,7.0187
76,-10508.0367,0.0306,76.1658,33.6381,7.1127
77,-10378.4325,0.0278,48.9191,33.0012,7.2082
78,-10272.5266,0.0256,49.8855,32.4925,7.3018
79,-10179.2282,0.0234,62.5846,32.2671,7.3937
80,-10126.9002,0.0241,45.152,31.737,7.487
81,-10031.2218,0.0234,54.0608,31.4383,7.5826
82,-9974.0317,0.0216,50.3276,31.0914,7.6765
83,-9914.5145,0.0206,47.1308,30.7193,7.7708
84,-9798.3757,0.0222,37.6263,30.0585,7.8649
85,-9752.5859,0.0222,58.32,29.881,7.9604
